epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,3601.71,1.15871,1.07287,1.31191,0.69989,0.62801,0.64307,0.37538,1.46204,1.32347,1.33197,0.000189842,0.000189842,0.000189842
69,3655,1.17508,1.09342,1.31883,0.67546,0.62313,0.64705,0.38009,1.42583,1.29557,1.31286,0.000176094,0.000176094,0.000176094
70,3706.54,1.15033,1.08824,1.28986,0.70855,0.61871,0.6524,0.37998,1.46787,1.30548,1.33401,0.000162345,0.000162345,0.000162345
71,3759.22,1.1331,0.95258,1.30187,0.66231,0.62167,0.62453,0.37974,1.41969,1.30668,1.30416,0.000148596,0.000148596,0.000148596
72,3807.86,1.12794,0.89796,1.30033,0.64043,0.66054,0.66016,0.39217,1.44185,1.29401,1.30044,0.000134848,0.000134848,0.000134848
73,3857.48,1.102,0.85009,1.29787,0.66264,0.65371,0.66268,0.40623,1.39268,1.30203,1.2739,0.000121099,0.000121099,0.000121099
74,3906.42,1.09017,0.85846,1.28489,0.64809,0.64739,0.65921,0.39709,1.41795,1.29805,1.30609,0.00010735,0.00010735,0.00010735
75,3954.77,1.05994,0.8434,1.26431,0.72066,0.6766,0.68261,0.41147,1.38828,1.26371,1.2897,9.36017e-05,9.36017e-05,9.36017e-05
76,4005.13,1.08362,0.81708,1.28511,0.70682,0.68385,0.68854,0.40984,1.37644,1.27619,1.28204,7.98531e-05,7.98531e-05,7.98531e-05
77,4053.99,1.08154,0.82,1.27664,0.72008,0.67684,0.68138,0.41384,1.38545,1.28799,1.30213,6.61045e-05,6.61045e-05,6.61045e-05
78,4102.48,1.03847,0.81043,1.25305,0.72786,0.68489,0.68893,0.41233,1.40467,1.30636,1.29905,5.23559e-05,5.23559e-05,5.23559e-05
79,4152.77,1.07176,0.83183,1.27869,0.71793,0.67343,0.69544,0.41761,1.38927,1.27613,1.29729,3.86073e-05,3.86073e-05,3.86073e-05
80,4201.33,1.03062,0.78744,1.24789,0.71824,0.67485,0.6846,0.41319,1.38919,1.28912,1.28978,2.48586e-05,2.48586e-05,2.48586e-05
